Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,90130
design__instance__area,604184
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,111
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,3328
design__max_cap_violation__count__corner:nom_tt_025C_1v80,3
power__internal__total,0.03789164125919342
power__switching__total,0.01701730117201805
power__leakage__total,6.626107733609388E-7
power__total,0.0549096055328846
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.47027971736829616
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5248069904972678
timing__hold__ws__corner:nom_tt_025C_1v80,0.3150135796933098
timing__setup__ws__corner:nom_tt_025C_1v80,3.2705306055744967
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.315014
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,3.270531
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1535
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,3328
design__max_cap_violation__count__corner:nom_ss_100C_1v60,6
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.6345424365554708
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7341003568367924
timing__hold__ws__corner:nom_ss_100C_1v60,-0.05812550605354672
timing__setup__ws__corner:nom_ss_100C_1v60,-7.037556514516888
timing__hold__tns__corner:nom_ss_100C_1v60,-0.1428621705815537
timing__setup__tns__corner:nom_ss_100C_1v60,-3260.7414153945083
timing__hold__wns__corner:nom_ss_100C_1v60,-0.05812550605354672
timing__setup__wns__corner:nom_ss_100C_1v60,-7.037556514516888
timing__hold_vio__count__corner:nom_ss_100C_1v60,3
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.881779
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1221
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-7.037557
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1221
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,3328
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.40206147882377197
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4371119978586018
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10565215668045083
timing__setup__ws__corner:nom_ff_n40C_1v95,7.57840744941907
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.105652
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.578407
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1869
design__max_fanout_violation__count,3328
design__max_cap_violation__count,11
clock__skew__worst_hold,-0.39640700177713406
clock__skew__worst_setup,0.4318538704429646
timing__hold__ws,-0.13573498265109943
timing__setup__ws,-7.339025594971312
timing__hold__tns,-0.4749973882002607
timing__setup__tns,-3632.857090422894
timing__hold__wns,-0.13573498265109943
timing__setup__wns,-7.339025594971312
timing__hold_vio__count,11
timing__hold_r2r__ws,0.104327
timing__hold_r2r_vio__count,0
timing__setup_vio__count,3673
timing__setup_r2r__ws,-7.339025
timing__setup_r2r_vio__count,3673
design__die__bbox,0.0 0.0 1027.725 1038.445
design__core__bbox,5.52 10.88 1022.12 1025.44
design__io,96
design__die__area,1.06724E+6
design__core__area,1.0314E+6
design__instance__count__stdcell,90130
design__instance__area__stdcell,604184
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.58579
design__instance__utilization__stdcell,0.58579
design__instance__count__class:buffer,1
design__instance__count__class:inverter,319
design__instance__count__class:sequential_cell,7463
design__instance__count__class:multi_input_combinational_cell,23094
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,56930
design__instance__count__class:tap_cell,14625
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,94
design__io__hpwl,26943327
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.33723E+6
design__violations,0
design__instance__count__class:timing_repair_buffer,11376
design__instance__count__class:clock_buffer,990
design__instance__count__class:clock_inverter,577
design__instance__count__setup_buffer,153
design__instance__count__hold_buffer,7123
antenna__violating__nets,5
antenna__violating__pins,5
route__antenna_violation__count,5
design__instance__count__class:antenna_cell,31685
antenna_diodes_count,7
route__net,43167
route__net__special,2
route__drc_errors__iter:1,26629
route__wirelength__iter:1,1688660
route__drc_errors__iter:2,10978
route__wirelength__iter:2,1674727
route__drc_errors__iter:3,10320
route__wirelength__iter:3,1671305
route__drc_errors__iter:4,869
route__wirelength__iter:4,1668486
route__drc_errors__iter:5,34
route__wirelength__iter:5,1668334
route__drc_errors__iter:6,9
route__wirelength__iter:6,1668335
route__drc_errors__iter:7,1
route__wirelength__iter:7,1668345
route__drc_errors__iter:8,1
route__wirelength__iter:8,1668345
route__drc_errors__iter:9,1
route__wirelength__iter:9,1668348
route__drc_errors__iter:10,1
route__wirelength__iter:10,1668348
route__drc_errors__iter:11,1
route__wirelength__iter:11,1668345
route__drc_errors__iter:12,1
route__wirelength__iter:12,1668342
route__drc_errors__iter:13,1
route__wirelength__iter:13,1668342
route__drc_errors__iter:14,1
route__wirelength__iter:14,1668347
route__drc_errors__iter:15,1
route__wirelength__iter:15,1668347
route__drc_errors__iter:16,1
route__wirelength__iter:16,1668348
route__drc_errors__iter:17,1
route__wirelength__iter:17,1668348
route__drc_errors__iter:18,1
route__wirelength__iter:18,1668348
route__drc_errors__iter:19,1
route__wirelength__iter:19,1668344
route__drc_errors__iter:20,1
route__wirelength__iter:20,1668342
route__drc_errors__iter:21,0
route__wirelength__iter:21,1668343
route__drc_errors,0
route__wirelength,1668343
route__vias,379556
route__vias__singlecut,379556
route__vias__multicut,0
design__disconnected_pin__count,8
